time	kinetic	potential	total
0	0.39605	0.605	1.00105
0.1	0.297297605	0.7068605	1.004158105
0.2	0.20768303556	0.80151726605	1.00920030161
0.3	0.130781913002	0.885193493185	1.01597540619
0.4	0.069662592115	0.954550499941	1.02421309206
0.5	0.0267637338024	1.00682094175	1.03358467555
0.6	0.00379700251119	1.03991922798	1.04371623049
0.7	0.00167877081974	1.05252473702	1.05420350784
0.8	0.0204935561726	1.04413450905	1.06462806522
0.9	0.0594906486341	1.01508331417	1.0745739628
1.0	0.117114064215	0.966530295051	1.08364435927
1.1	0.191064628634	0.900412717161	1.0914773458
1.2	0.27839171437	0.819368671857	1.09776038623
1.3	0.375610970703	0.726631816546	1.10224278725
1.4	0.478843349305	0.625902351754	1.10474570106
1.5	0.58396987827	0.521199383128	1.1051692614
1.6	0.686796009092	0.416700559115	1.10349656821
1.7	0.783218979151	0.316575382793	1.09979436194
1.8	0.869391511941	0.224818848698	1.09421036064
1.9	0.941875323406	0.145092042539	1.08696736594
2.0	0.997778309466	0.0805760638835	1.07835437335
2.1	1.03486994098	0.0338451002789	1.06871504126
2.2	1.05167026185	0.00676371717311	1.05843397902
2.3	1.04750893927	0.000412461752145	1.04792140102
2.4	1.02255201001	0.0150447491073	1.03759675912
2.5	0.977795255554	0.050076750973	1.02787200653
2.6	0.915024470401	0.104110690475	1.01913516088
2.7	0.836744208879	0.174990613427	1.01173482231
2.8	0.746077853423	0.259888410903	1.00596626433
2.9	0.646642991616	0.355416660784	1.0020596524
3.0	0.542407074443	0.4577637859	1.00017086034
3.1	0.437529114999	0.562846135959	1.00037525096
3.2	0.336193743868	0.666470925192	1.00266466906
3.3	0.242444242355	0.764503524511	1.00694776687
3.4	0.160021215573	0.853032433202	1.01305364877
3.5	0.0922133422899	0.928525347807	1.0207386901
3.6	0.041726156649	0.987970101036	1.02969625768
3.7	0.0105740973579	1.02899484723	1.03956894459
3.8	1.31582175022e-07	1.04996269903	1.04996283061
3.9	0.0104261605563	1.05003703913	1.06046319968
4.0	0.0414361857243	1.02921490137	1.07065108709
4.1	0.0917929070818	0.988327089042	1.08011999612
4.2	0.159487091447	0.929005025865	1.08849211731
4.3	0.241817740863	0.853615662156	1.09543340302
4.4	0.335499862419	0.765167033527	1.10066689595
4.5	0.436795539464	0.66718824026	1.10398377972
4.6	0.541663074485	0.563588636206	1.10525171069
4.7	0.645918252834	0.458501845569	1.1044200984
4.8	0.745401292894	0.356120831292	1.10152212419
4.9	0.836142821369	0.260530595848	1.09667341722
5.0	0.91452225127	0.175545189629	1.0900674409
5.1	0.977412243346	0.104555530344	1.08196777369
5.2	1.02230348691	0.0503941053978	1.07269759231
5.3	1.04740482135	0.0152219556465	1.062626777
5.4	1.05171470342	0.000442449864951	1.05215715328
5.5	1.03506116882	0.00664529033378	1.04170645915
5.6	0.998108693583	0.0335829837183	1.0316916773
5.7	0.942331681473	0.0801807160525	1.02251239753
5.8	0.869955635273	0.144579237816	1.01453487309
5.9	0.783868359225	0.224209047991	1.00807740722
6.0	0.687504735645	0.315892917151	1.0033976528
6.1	0.584709673112	0.415972658917	1.00068233203
6.2	0.479584694622	0.520455091591	1.00003978621
6.3	0.376324286816	0.625171366112	1.00149565293
6.4	0.279048539967	0.725943303124	1.00499184309
6.5	0.191638756373	0.818750102342	1.01038885871
6.6	0.117582586399	0.899888772477	1.01747135888
6.7	0.0598348712285	0.966121880589	1.02595675182
6.8	0.0206997446958	1.01480672567	1.03550647036
6.9	0.00173869834969	1.04400078239	1.04573948074
7.0	0.00370827793946	1.05253920789	1.05624748583
7.1	0.0265298972395	1.04008131901	1.06661121625
7.2	0.0692929736396	1.00712418549	1.07641715913
7.3	0.130291260392	0.954982796969	1.08527405736
7.4	0.207090925854	0.885737594852	1.09282852071
7.5	0.296627663375	0.802151462699	1.09877912607
7.6	0.395328957127	0.707559487185	1.10288844431
7.7	0.499256625489	0.605735888133	1.10499251362
7.8	0.604263954495	0.500743427143	1.10500738164
7.9	0.706161151716	0.396771303411	1.10293245513
8.0	0.800882518984	0.297968004673	1.09885052366
8.1	0.884648673745	0.208275782548	1.09292445629
8.2	0.954117346423	0.1312733567	1.08539070312
8.3	1.00651673698	0.0700331239191	1.0765498609
8.4	1.03975610973	0.0269985694939	1.06675467922
8.5	1.0525092137	0.003886772146	1.05639598585
8.6	1.04426720005	0.00161989258945	1.04588709264
8.7	1.01535892511	0.0202883793186	1.03564730443
8.8	0.966937829062	0.0591473597129	1.02608518877
8.9	0.900935913634	0.116646360455	1.01758227409
9.0	0.819986655252	0.190491171414	1.01047782667
9.1	0.727319929326	0.277735384634	1.00505531396
9.2	0.626633138219	0.374897956008	1.00153109423
9.3	0.521943684898	0.478102098936	1.00004578383
9.4	0.417428678549	0.583229968117	1.00065864667
9.5	0.317258267926	0.68608696157	1.0033452295
9.6	0.225429252413	0.782569085257	1.00799833767
9.7	0.145605609728	0.868826702442	1.01443231217
9.8	0.0809723032157	0.941418134199	1.02239043741
9.9	0.0341082018048	0.997446982402	1.03155518421
